symbol,price
CELRUSDT,0.03231
ADAPAX,0.03257
ADAUSDC,0.741
NEOPAX,11.122
NEOUSDC,28.27
DASHBNB,0.1183
DASHUSDT,40.15
NANOUSDT,2.224
OMGBNB,0.03938
OMGUSDT,1.2
THETAUSDT,3.058
ENJUSDT,0.6299
MITHUSDT,0.00345
MATICBNB,0.002332
MATICBTC,1.656e-05
MATICUSDT,1.1316
ATOMBNB,0.02775
ATOMBTC,0.0001971
ATOMUSDT,13.467
ATOMUSDC,12.912
ATOMPAX,3.178
ATOMTUSD,2.598
ETCUSDC,4.71
ETCPAX,4.838
ETCTUSD,3.795
BATUSDC,0.6313
BATPAX,0.2556
BATTUSD,0.2222
PHBBNB,0.000137
PHBBTC,5.228e-05
PHBUSDC,0.00587
PHBTUSD,0.229
PHBPAX,0.00639
TFUELBNB,0.0001259
TFUELBTC,1.37e-06
TFUELUSDT,0.09331
TFUELUSDC,0.003565
TFUELTUSD,0.003077
TFUELPAX,0.003487
ONEBNB,4.537e-05
ONEBTC,5.3e-07
ONEUSDT,0.03565
ONETUSD,0.00472
ONEPAX,0.00496
ONEUSDC,0.0052
FTMBNB,0.0016372
FTMBTC,1.164e-05
FTMUSDT,0.7945
FTMTUSD,0.01095
FTMPAX,0.01028
FTMUSDC,0.01107
BTCBBTC,1.0
BCPTTUSD,0.02606
BCPTPAX,0.02761
BCPTUSDC,0.02728
ALGOBNB,0.0005825
ALGOBTC,3.98e-06
ALGOUSDT,0.2716
ALGOTUSD,1.017
ALGOPAX,0.2039
ALGOUSDC,0.238
USDSBUSDT,0.9997
USDSBUSDS,0.9999
GTOUSDT,0.01233
GTOPAX,0.01361
GTOTUSD,0.01236
GTOUSDC,0.01196
ERDBNB,0.00083273
ERDBTC,1.68e-06
ERDUSDT,0.01971
ERDPAX,0.0012527
ERDUSDC,0.0013573
DOGEBNB,0.0001527
DOGEBTC,2.57e-06
DOGEUSDT,0.1754
DOGEPAX,0.0021682
DOGEUSDC,0.17569
DUSKBNB,0.00118
DUSKBTC,5.24e-06
DUSKUSDT,0.3575
DUSKUSDC,0.0179
DUSKPAX,0.0189
BGBPUSDC,1.39
ANKRBNB,8.56e-05
ANKRBTC,7.3e-07
ANKRUSDT,0.04983
ANKRTUSD,0.002128
ANKRPAX,0.002093
ANKRUSDC,0.002097
ONTPAX,0.8451
ONTUSDC,0.5708
WINBNB,4e-07
WINBTC,1e-08
WINUSDT,0.0001979
WINUSDC,9.73e-05
COSBNB,2.678e-05
COSBTC,1.3e-07
COSUSDT,0.008569
TUSDBTUSD,0.9975
NPXSUSDT,0.0070301
NPXSUSDC,0.0001702
COCOSBNB,0.00559
COCOSBTC,3e-08
COCOSUSDT,1.7546
MTLUSDT,2.475
TOMOBNB,0.03255
TOMOBTC,3.699e-05
TOMOUSDT,1.3819
TOMOUSDC,0.367
PERLBNB,7.18e-05
PERLBTC,1.13e-06
PERLUSDC,0.02447
PERLUSDT,0.0046
DENTUSDT,0.002162
MFTUSDT,0.005254
KEYUSDT,0.008606
STORMUSDT,0.003397
DOCKUSDT,0.0434
WANUSDT,0.3045
FUNUSDT,0.006441
CVCUSDT,0.1427
BTTTRX,0.03945
WINTRX,0.001456
CHZBNB,0.0003195
CHZBTC,2.26e-06
CHZUSDT,0.1549
BANDBNB,0.02248
BANDBTC,3.782e-05
BANDUSDT,2.579
BNBBUSD,251.8
BTCBUSD,42769.4
