open,high,low,close,volume
63724.01000000,67641.10000000,62779.14000000,66074.04000000,78738.85491000
66074.04000000,67980.00000000,65551.00000000,66823.17000000,53059.88690000
66823.18000000,69990.00000000,66082.66000000,68124.19000000,74261.93284200 
68124.20000000,68541.10000000,67861.10000000,68334.03000000,18311.52756000 
